sequenceID,genotype,subtype
M73218,1,a
D11092,1,b
X98292,1,c
AY230202,1,d
AY204877,1,e
JF443721,1,f
FJ457024,1,-
M74506,2,a
AF082843,3,a
AP003430,3,b
FJ705359,3,c
AB248521,3,e
EU360977,3,-
AB369687,3,f
EU723513,3,-
KJ873911,3,-
AF455784,3,g
JQ013794,3,h
FJ998008,3,i
AY115488,3,j
AB290312,3,-
AB369689,3,-
JQ953664,3,-
AB290313,3,-
FJ906895,3,ra
JQ013791,3,-
KJ013415,3,-
AB197673,4,a
DQ279091,4,b
AB074915,4,c
AJ272108,4,d
AY723745,4,e
AB220974,4,f
AB108537,4,g
GU119961,4,h
DQ450072,4,i
AB369688,4,-
AB573435,5,a
AB602441,6,a
AB856243,6,-
KJ496143,7,a
KJ496144,7,-
