Using config local-gluetools-config.xml
sequenceID	gb_isolate	gb_host	gb_collection_year	gb_collection_month	gb_collection_month_day	gb_pubmed_id	gb_country_short	gb_place_sampled	gb_lab_construct	gb_isolation_source
AB073909	No. 570	-	-	-	-	11741279	Japan	-	false	pig
AB073910	No. 681	-	-	-	-	11741279	Japan	-	false	pig
AB073911	No. 791	-	-	-	-	11741279	Japan	-	false	pig
AB073912	No. 570	-	-	-	-	11741279	Japan	-	false	pig
AB074915	JAK-Sai	Homo sapiens	-	-	-	12001054	Japan	Saitama	false	-
AB074916	JHA-Sap	Homo sapiens	-	-	-	12001054	Japan	Sapporo	false	human serum
AB074917	JKK-Sap	Homo sapiens	-	-	-	12001054	Japan	Sapporo	false	human serum
AB074918	JKN-Sap	Homo sapiens	-	-	-	12001054	Japan	Sapporo	false	-
AB074919	JMM-Sai	Homo sapiens	-	-	-	12001054	Japan	Saitama	false	human serum
AB074920	JMY-Haw	Homo sapiens	-	-	-	12001054	Japan	Sapporo	false	-
AB074921	JSY-Sap	Homo sapiens	-	-	-	12001054	Japan	Sapporo	false	human serum
AB075956	V008ORF2	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075957	V013ORF2	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075958	V091ORF2	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075959	V107ORF2	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075960	V123ORF2	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075961	V131ORF2	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075962	V153ORF2	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075963	V179ORF2	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075964	V228ORF2	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075965	V008ORF1	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075966	V013ORF1	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
