queryName	genotypeFinalClade	genotypeCladeBalance	genotypeClosestMemberAlignmentName	genotypeClosestMemberSourceName	genotypeClosestMemberSequenceID	subtypeFinalClade	subtypeCladeBalance	subtypeClosestMemberAlignmentName	subtypeClosestMemberSourceName	subtypeClosestMemberSequenceID
ncbi-hev/AB073909	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	-	AL_3b:51.48%, AL_3a:17.87%, AL_3_AB369689:17.58%, AL_3j:12.50%, AL_3i:0.58%	-	-	-
ncbi-hev/AB073910	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:85.70%, AL_3a:5.40%, AL_3_AB369689:5.05%, AL_3j:3.85%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB073911	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3e	AL_3e:74.75%, AL_3_AB290313:6.86%, AL_3f:10.06%, AL_3_KJ873911:4.18%, AL_3_EU360977:4.15%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB073912	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:67.29%, AL_3a:11.73%, AL_3_AB369689:10.85%, AL_3j:7.89%, AL_3i:2.24%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB074915	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4c	AL_4c:100.00%, AL_4f:0.00%, AL_4h:0.00%, AL_4g:0.00%, AL_4_AB369688:0.00%, AL_4e:0.00%, AL_4a:0.00%, AL_4i:0.00%	AL_4c	ncbi-hev	AB074915
ncbi-hev/AB074916	AL_3	AL_3:100.00%	AL_3a	ncbi-hev	AF082843	-	AL_3a:56.93%, AL_3j:14.78%, AL_3_AB369689:13.12%, AL_3b:12.66%, AL_3i:2.30%, AL_3h:0.10%, AL_3_AB290312:0.10%	-	-	-
ncbi-hev/AB074917	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4c	AL_4c:61.47%, AL_4f:13.68%, AL_4h:10.40%, AL_4g:5.32%, AL_4_AB369688:4.41%, AL_4e:2.43%, AL_4a:2.29%	AL_4c	ncbi-hev	AB074915
ncbi-hev/AB074918	AL_3	AL_3:100.00%	AL_3a	ncbi-hev	AF082843	AL_3a	AL_3a:85.40%, AL_3j:5.56%, AL_3_AB369689:4.18%, AL_3b:4.09%, AL_3i:0.77%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB074919	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:99.88%, AL_1f:0.05%, AL_1b:0.04%, AL_1c:0.03%, AL_1e:0.00%, AL_1d:0.00%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB074920	AL_3	AL_3:100.00%	AL_3a	ncbi-hev	AF082843	AL_3a	AL_3a:85.79%, AL_3j:5.44%, AL_3_AB369689:4.06%, AL_3b:3.98%, AL_3i:0.73%	AL_3a	ncbi-hev	AF082843
